theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
telegram_bot,NOT-USD,NOT,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
oxbull,SKILL-USD,SKILL,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,SHOE-USD,SHOE,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,MONI-USD,MONI,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,LFG-USD,LFG,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,ETNA-USD,ETNA,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,ALU-USD,ALU,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,POCO-USD,POCO,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,BLOK-USD,BLOK,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
kommunitas_launchpad,QORPO-USD,QORPO,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,SHOE-USD,SHOE,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,GQ-USD,GQ,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,FYN-USD,FYN,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,CHER-USD,CHER,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
move_to_earn,FITFI-USD,FITFI,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,WLKN-USD,WLKN,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,MOOV-USD,MOOV,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,STEP-USD,STEP,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,DEFIT-USD,DEFIT,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,DOSE-USD,DOSE,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,SWEAT-USD,SWEAT,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
paal_ecosystem,FLOKI-USD,FLOKI,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,DIONE-USD,DIONE,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,PAAL-USD,PAAL,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,INSP-USD,INSP,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,GHX-USD,GHX,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
brc-20,MUBI-USD,MUBI,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,ORDI-USD,ORDI,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
